NR_TURNO,SG_UF,SG_UE,NM_MUNICIPIO,NR_ZONA,DS_CARGO,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NM_PARTIDO,DS_COMPOSICAO_COLIGACAO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,DS_SIT_TOT_TURNO
1,RS,87211,JAGUARÃO,25,Prefeito,CRISTIANO DOS SANTOS CARDOSO,CRISTIANO CARDOSO,PDT,Partido Democrático Trabalhista,PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),6376,6376,NÃO ELEITO
1,MG,45632,GUARACIABA,225,Prefeito,REINALDO EDWIGES MILITÃO,NADINHO DE SONEN,PP,PROGRESSISTAS,PP / PL / AVANTE,2594,2594,NÃO ELEITO
1,RS,86762,GRAMADO DOS LOUREIROS,99,Prefeito,ETELVINO DE MELO MACHADO,ETELVINO,PSDB,Partido da Social Democracia Brasileira,Federação PSDB CIDADANIA(PSDB/CIDADANIA) / PDT / PP,952,952,NÃO ELEITO
1,PI,11592,PICOS,10,Prefeito,GIL MARQUES DE MEDEIROS,GIL PARAIBANO,PP,PROGRESSISTAS,PP / PL / UNIÃO,20041,20041,NÃO ELEITO
1,PI,12270,VÁRZEA GRANDE,48,Prefeito,LUÍS NUNES RIBEIRO FILHO,LUÍS FILHO,MDB,Movimento Democrático Brasileiro,MDB / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),1332,1332,NÃO ELEITO
1,PR,74101,ANAHY,126,Prefeito,ODAIR VIEIRA DE MIRANDA,ODAIR MIRANDA,PT,Partido dos Trabalhadores,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / PSB,998,998,NÃO ELEITO
1,SP,62219,BEBEDOURO,24,Prefeito,FERNANDO JOSE PIFFER,DR FERNANDO PIFFER,PSD,Partido Social Democrático,NOVO / Federação PSDB CIDADANIA(PSDB/CIDADANIA) / PSD,11584,11584,NÃO ELEITO
1,MG,50377,POCRANE,129,Prefeito,ANTONIO PEREIRA DA GAMA SOBRINHO,ANTONIO GAMA,PL,Partido Liberal,PL / PSD,447,447,NÃO ELEITO
1,MG,52094,SANTO ANTÔNIO DO RIO ABAIXO,83,Prefeito,NILSON DOS REIS SA,NILSIM,PSD,Partido Social Democrático,PP / PSD,903,903,NÃO ELEITO
1,MG,40860,UBAPORANGA,71,Prefeito,FLAVIO DE ASSIS RODRIGUES,FLAVINHO DO GILMAR,CIDADANIA,Cidadania,PRD / PP / Federação PSDB CIDADANIA(PSDB/CIDADANIA) / REPUBLICANOS,1434,1434,NÃO ELEITO
1,BA,33170,ALMADINA,135,Prefeito,ADEMIR DE AQUINO GOMES,ADEMIR GOMES,AVANTE,AVANTE,PP / PMB / AVANTE,1355,1355,NÃO ELEITO
1,PB,19402,SÃO BENTINHO,51,Prefeito,KATIA ALMEIDA CARREIRO BEZERRA DA SILVA,KATIA DE CHICO DAMIAO,PP,PROGRESSISTAS,PP / PDT,486,486,NÃO ELEITO
1,PB,19852,CATINGUEIRA,32,Prefeito,ODIR PEREIRA BORGES FILHO,DR. ODIR,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS / Federação PSDB CIDADANIA(PSDB/CIDADANIA),1547,1547,NÃO ELEITO
1,SC,83259,SÃO JOAQUIM,28,Prefeito,JOAQUIM COSTA BORGES JUNIOR,JOAQUIM JUNIOR GUGA,PDT,Partido Democrático Trabalhista,PDT / MDB,3667,3667,NÃO ELEITO
1,PA,5797,SÃO GERALDO DO ARAGUAIA,62,Prefeito,VERONICE PEREIRA DE CARVALHO,NICE CARVALHO,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),262,262,NÃO ELEITO
1,PE,26018,TEREZINHA,61,Prefeito,ADRIANO CAMPOS DA SILVA,PROFESSOR ADRIANO CAMPOS,PSD,Partido Social Democrático,PODE / PSD / Federação PSDB CIDADANIA(PSDB/CIDADANIA),2663,2663,NÃO ELEITO
1,PR,74039,ADRIANÓPOLIS,48,Prefeito,ROBSON TARCIS JEREMIAS DOS SANTOS,TARSO DO AGROBOI,PP,PROGRESSISTAS,PP / PODE / Federação PSDB CIDADANIA(PSDB/CIDADANIA) / MDB,1524,1524,NÃO ELEITO
1,ES,56219,BOM JESUS DO NORTE,44,Prefeito,MARCOS ANTONIO TEIXEIRA DE SOUZA,MARQUINHO MESSIAS,PP,PROGRESSISTAS,PP / REPUBLICANOS / PSD / SOLIDARIEDADE / PRD,2479,2479,NÃO ELEITO
1,BA,34312,CANDIBA,64,Prefeito,ANDERSON RICARDO REIS QUEIROZ,RICARDO VETERINÁRIO,AVANTE,AVANTE,PDT / UNIÃO / PODE / PSB / AVANTE,3318,3318,NÃO ELEITO
1,SP,64858,IACRI,184,Prefeito,ALESANDRA LEAL FERREIRA,NINA,PSDB,Partido da Social Democracia Brasileira,PSD / Federação PSDB CIDADANIA(PSDB/CIDADANIA),1711,1711,NÃO ELEITO
1,SP,63592,COSMORAMA,138,Prefeito,VALTER GARDINI FILHO,VALTINHO GARDINI,PL,Partido Liberal,PL / PRD,966,966,NÃO ELEITO
1,CE,15440,SALITRE,38,Prefeito,ELIANE BATISTA PEREIRA,ELIANE RIBEIRO,MDB,Movimento Democrático Brasileiro,MDB / PRD,83,83,NÃO ELEITO
1,SP,68896,PIRATININGA,23,Prefeito,JORGE LUIS DIAS,MAJOR JORGE LUÍS,PL,Partido Liberal,MDB / PODE / PL / PRD / PSD,3763,3763,NÃO ELEITO
1,SC,80853,CORONEL FREITAS,94,Prefeito,LEANDRO ROGÉRIO FERREIRA,LEANDRO LELÊ,PSD,Partido Social Democrático,PSD / UNIÃO,1721,1721,NÃO ELEITO
1,RS,85162,TERRA DE AREIA,77,Prefeito,JULIO CESAR PINHO WITT,JULINHO WITT,PP,PROGRESSISTAS,PP,2210,2210,NÃO ELEITO
1,RN,16136,ALTO DO RODRIGUES,47,Prefeito,ABELARDO RODRIGUES NETO,ABELARDO NETO,UNIÃO,União Brasil,UNIÃO / Federação PSDB CIDADANIA(PSDB/CIDADANIA) / MDB,4481,4481,NÃO ELEITO
1,PA,5037,OEIRAS DO PARÁ,45,Prefeito,JESUS PINHEIRO NAHUM,JESUS NAHUM,PSD,Partido Social Democrático,PDT / PSB / PSD,7707,7707,NÃO ELEITO
1,GO,93262,BURITINÓPOLIS,123,Prefeito,JORGINO JOAQUIM DA COSTA,JORGINO COSTA,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS / PSB,1510,1510,NÃO ELEITO
1,MG,46493,ITAMARANDIBA,135,Prefeito,GELTE ANTONIO COSTA,TOM COSTA,PL,Partido Liberal,Federação PSDB CIDADANIA(PSDB/CIDADANIA) / PL,1222,1222,NÃO ELEITO
1,SP,71250,SARUTAIÁ,234,Prefeito,JOSELI NUNES MONTILHA,JOSELI,PSD,Partido Social Democrático,PSD / SOLIDARIEDADE,354,354,NÃO ELEITO
1,SP,65552,ITÁPOLIS,55,Prefeito,RODRIGO FERNANDO NOVELLI,RODRIGO NOVELLI,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS / PDT / PRD / PSB / UNIÃO / PSD,6665,6665,NÃO ELEITO
