Territorialidades,Taxa de Educacao 2010
Campinas do Piauí (PI),72.32
Campinas do Sul (RS),95.28
Campinas (SP),96.74
Campina Verde (MG),91.94
Campinorte (GO),88.3
Campo Alegre (AL),72.59
Campo Alegre de Goiás (GO),89.28
Campo Alegre de Lourdes (BA),72.04
Campo Alegre do Fidalgo (PI),67.17
Campo Alegre (SC),95.6
Campo Azul (MG),78.46
Campo Belo do Sul (SC),85.57
Campo Belo (MG),91.31
Campo Bom (RS),96.82
Campo Bonito (PR),86.93
Campo do Brito (SE),71.83
Campo do Meio (MG),89.86
Campo do Tenente (PR),90.89
Campo Erê (SC),87.06
Campo Florido (MG),91.33
Campo Formoso (BA),75.45
Campo Grande (AL),60.73
Campo Grande do Piauí (PI),63.61
Campo Grande (MS),96.08
Campo Largo do Piauí (PI),61.91
Campo Largo (PR),95.52
Campo Limpo de Goiás (GO),86.32
Campo Limpo Paulista (SP),95.78
Campo Magro (PR),93.83
Campo Maior (PI),77.88
Campo Mourão (PR),92.71
Campo Novo de Rondônia (RO),87.69
Campo Novo do Parecis (MT),94.41
Campo Novo (RS),86.96
Campo Redondo (RN),74.29
Campos Altos (MG),90.09
Campos Belos (GO),84.8
Campos Borges (RS),90.56
Campos de Júlio (MT),94.32
Campos do Jordão (SP),95.59
Campos dos Goytacazes (RJ),93.15
Campos Gerais (MG),88.58
Campos Lindos (TO),79.04
Campos Novos Paulista (SP),90.02
Campos Novos (SC),93.36
Campos Sales (CE),70.79
Campos Verdes (GO),80.67
Campo Verde (MT),93.68
Camutanga (PE),73.13
Canaã dos Carajás (PA),90.07
Canaã (MG),85.37
Canabrava do Norte (MT),88.68
Cananéia (SP),92.58
Canapi (AL),59.65
Canápolis (BA),69.1
Canápolis (MG),85.38
Canarana (BA),80.99
Canarana (MT),89.72
Canas (SP),93.85
Cana Verde (MG),87.79
Canavieira (PI),73.07
Canavieiras (BA),80.38
Candeal (BA),74.27
Candeias (BA),90.92
Candeias do Jamari (RO),89.02
Candeias (MG),86.01
Candelária (RS),90.5
Candiba (BA),74.37
Cândido de Abreu (PR),83.81
Cândido Godói (RS),96.62
Cândido Mendes (MA),78.6
Cândido Mota (SP),93.06
Cândido Rodrigues (SP),91.38
Cândido Sales (BA),73.92
Candiota (RS),94.52
Candói (PR),90.69
Canela (RS),95.8
Canelinha (SC),92.11
Canguaretama (RN),73.37
Canguçu (RS),90.83
Canhoba (SE),67.82
Canhotinho (PE),63.69
Canindé (CE),75.33
Canindé de São Francisco (SE),70.04
Canitar (SP),89.65
Canoas (RS),97.39
Canoinhas (SC),95.66
Cansanção (BA),71.07
Cantagalo (MG),84.62
Cantagalo (PR),91.21
Cantagalo (RJ),90.58
Cantanhede (MA),71.14
Cantá (RR),82.78
Canto do Buriti (PI),70.31
Canudos (BA),74.77
Canudos do Vale (RS),89.34
Canutama (AM),70.47
Capanema (PA),86.19
Capanema (PR),92.67
Capão Alto (SC),90.11
Capão Bonito do Sul (RS),89.88
Capão Bonito (SP),90.94
Capão da Canoa (RS),96.26
Capão do Cipó (RS),93.58
Capão do Leão (RS),92.63
Caparaó (MG),85.53
Capela (AL),68.02
Capela de Santana (RS),94.23
Capela do Alto Alegre (BA),72.02
Capela do Alto (SP),93.0
Capela Nova (MG),89.24
Capela (SE),75.2
Capelinha (MG),81.06
Capetinga (MG),88.63
Capim Branco (MG),93.54
Capim Grosso (BA),79.25
Capim (PB),60.15
Capinópolis (MG),87.51
Capinzal do Norte (MA),67.81
Capinzal (SC),94.41
Capistrano (CE),72.22
Capitão Andrade (MG),82.35
Capitão de Campos (PI),68.58
Capitão Enéas (MG),81.75
Capitão Gervásio Oliveira (PI),68.08
Capitão Leônidas Marques (PR),90.41
Capitão Poço (PA),76.02
Capitão (RS),94.68
Capitólio (MG),92.89
Capivari de Baixo (SC),95.78
Capivari do Sul (RS),92.1
Capivari (SP),95.0
Capixaba (AC),78.21
Capoeiras (PE),68.12
Caputira (MG),86.83
Caraá (RS),88.02
Caracaraí (RR),86.79
Caracol (MS),91.47
Caracol (PI),64.66
Caraguatatuba (SP),95.3
Caraíbas (BA),67.14
Caraí (MG),73.42
Carambeí (PR),95.0
Caranaíba (MG),90.95
Carandaí (MG),92.73
Carangola (MG),89.85
Carapebus (RJ),91.58
Carapicuíba (SP),95.64
Caratinga (MG),90.45
Carauari (AM),71.97
Caraúbas do Piauí (PI),56.17
Caraúbas (PB),80.91
Caraúbas (RN),73.29
Caravelas (BA),75.05
Carazinho (RS),95.9
Carbonita (MG),81.09
Cardeal da Silva (BA),76.99
Cardoso Moreira (RJ),84.8
Cardoso (SP),90.89
Careaçu (MG),87.08
Careiro (AM),86.28
Careiro da Várzea (AM),83.54
Cariacica (ES),93.92
Caridade (CE),73.17
Caridade do Piauí (PI),67.78
Carinhanha (BA),74.09
Carira (SE),65.18
Cariré (CE),69.53
Caririaçu (CE),68.35
Cariri do Tocantins (TO),85.57
Cariús (CE),68.21
Carlinda (MT),84.25
Carlópolis (PR),91.93
Carlos Barbosa (RS),97.46
Carlos Chagas (MG),78.05
Carlos Gomes (RS),95.26
Carmésia (MG),84.81
Carmo da Cachoeira (MG),90.05
Carmo da Mata (MG),91.65
Carmo de Minas (MG),89.34
Carmo do Cajuru (MG),93.62
Carmo do Paranaíba (MG),91.29
Carmo do Rio Claro (MG),91.18
Carmo do Rio Verde (GO),89.1
Carmolândia (TO),80.98
Carmópolis de Minas (MG),94.75
Carmópolis (SE),85.54
Carmo (RJ),90.09
Carnaíba (PE),72.93
Carnaúba dos Dantas (RN),85.63
Carnaubais (RN),74.36
Carnaubal (CE),70.34
Carnaubeira da Penha (PE),72.54
Carneirinho (MG),88.39
Carneiros (AL),70.04
Caroebe (RR),87.82
Carolina (MA),84.87
Carpina (PE),83.91
Carrancas (MG),92.0
Carrapateira (PB),71.92
Carrasco Bonito (TO),71.05
Caruaru (PE),84.42
Carutapera (MA),80.36
Carvalhópolis (MG),91.65
Carvalhos (MG),84.8
Casa Branca (SP),94.98
Casa Grande (MG),94.11
Casa Nova (BA),75.14
Cascalho Rico (MG),93.47
Casca (RS),96.12
Cascavel (CE),77.11
Cascavel (PR),95.53
Caseara (TO),82.05
Caseiros (RS),89.81
Casimiro de Abreu (RJ),93.02
Casinhas (PE),68.57
Casserengue (PB),58.94
Cássia dos Coqueiros (SP),89.89
Cássia (MG),89.38
Cassilândia (MS),88.46
Castanhal (PA),92.19
Castanheira (MT),86.71
Castanheiras (RO),85.71
Castelândia (GO),74.75
Castelo do Piauí (PI),71.45
Castelo (ES),91.58
Castilho (SP),91.33
Castro Alves (BA),77.34
Castro (PR),92.37
Cataguases (MG),94.33
Catalão (GO),94.47
Catanduva (SP),95.33
Catanduvas (PR),86.4
Catanduvas (SC),93.83
Catarina (CE),70.56
Catas Altas da Noruega (MG),86.44
Catas Altas (MG),93.83
Catende (PE),73.21
Catiguá (SP),90.95
Catingueira (PB),64.23
Catolândia (BA),74.42
Catolé do Rocha (PB),76.86
Catu (BA),88.88
Catuípe (RS),93.93
Catuji (MG),75.48
Catunda (CE),69.98
Caturaí (GO),87.4
Caturama (BA),72.12
Caturité (PB),77.56
Catuti (MG),72.01
Caucaia (CE),87.14
Cavalcante (GO),73.18
Caxambu do Sul (SC),89.23
Caxambu (MG),94.03
Caxias do Sul (RS),97.66
Caxias (MA),74.25
Caxingó (PI),56.24
Ceará-Mirim (RN),78.24
Cedral (MA),82.86
Cedral (SP),93.69
Cedro (CE),72.48
Cedro de São João (SE),78.82
Cedro do Abaeté (MG),85.84
Cedro (PE),77.68
Celso Ramos (SC),91.31
Centenário do Sul (PR),86.44
Centenário (RS),95.92
Centenário (TO),71.45
Central (BA),79.99
Central de Minas (MG),79.99
Central do Maranhão (MA),73.27
Centralina (MG),88.12
Centro do Guilherme (MA),71.2
Centro Novo do Maranhão (MA),74.66
Cerejeiras (RO),89.71
Ceres (GO),92.41
Cerqueira César (SP),93.33
Cerquilho (SP),96.44
Cerrito (RS),87.92
Cerro Azul (PR),82.27
Cerro Branco (RS),86.92
Cerro Corá (RN),72.61
Cerro Grande do Sul (RS),90.15
Cerro Grande (RS),85.96
Cerro Largo (RS),95.57
Cerro Negro (SC),82.98
Cesário Lange (SP),94.55
Céu Azul (PR),93.75
Cezarina (GO),88.97
Chácara (MG),88.41
Chã de Alegria (PE),75.31
Chã Grande (PE),69.2
Chalé (MG),83.68
Chapada da Natividade (TO),79.31
Chapada de Areia (TO),81.1
Chapada do Norte (MG),75.12
Chapada dos Guimarães (MT),87.37
Chapada Gaúcha (MG),83.24
Chapadão do Céu (GO),95.49
Chapadão do Lageado (SC),92.59
Chapadão do Sul (MS),95.39
Chapada (RS),95.72
Chapadinha (MA),74.58
Chapecó (SC),95.55
Chã Preta (AL),64.49
Charqueada (SP),92.97
Charqueadas (RS),95.37
Charrua (RS),86.91
Chaval (CE),67.53
Chavantes (SP),91.2
Chaves (PA),72.93
Chiador (MG),88.73
Chiapetta (RS),93.74
Chopinzinho (PR),91.87
Choró (CE),67.57
Chorozinho (CE),71.28
Chorrochó (BA),71.62
Chuí (RS),98.12
Chupinguaia (RO),89.69
Chuvisca (RS),90.26
Cianorte (PR),94.42
Cícero Dantas (BA),67.11
Cidade Gaúcha (PR),88.67
Cidade Ocidental (GO),94.56
Cidelândia (MA),75.71
Cidreira (RS),96.34
Cipó (BA),76.17
Cipotânea (MG),87.17
Ciríaco (RS),92.88
Claraval (MG),92.0
Claro dos Poções (MG),83.15
Cláudia (MT),90.58
Cláudio (MG),95.08
Clementina (SP),90.86
Clevelândia (PR),88.61
Coaraci (BA),76.45
Coari (AM),82.98
Cocal de Telha (PI),66.6
Cocal dos Alves (PI),63.88
Cocal do Sul (SC),97.19
Cocalinho (MT),84.03
Cocal (PI),64.23
Cocalzinho de Goiás (GO),87.45
Cocos (BA),75.12
Codajás (AM),81.29
Codó (MA),69.53
Coelho Neto (MA),71.05
Coimbra (MG),89.82
Coité do Nóia (AL),61.05
Coivaras (PI),68.26
Colares (PA),89.64
Colatina (ES),92.29
Colíder (MT),90.01
Colinas do Sul (GO),84.07
Colinas do Tocantins (TO),87.98
Colinas (MA),70.17
Colina (SP),93.8
Colinas (RS),97.07
Colméia (TO),81.03
Colniza (MT),89.22
Colômbia (SP),90.05
Colombo (PR),95.35
Colônia do Gurguéia (PI),77.97
Colônia do Piauí (PI),65.11
Colônia Leopoldina (AL),65.41
Colorado do Oeste (RO),87.57
Colorado (PR),91.18
Colorado (RS),95.55
Coluna (MG),79.23
Combinado (TO),81.71
Comendador Gomes (MG),91.29
Comendador Levy Gasparian (RJ),92.64
Comercinho (MG),76.26
Comodoro (MT),87.26
Conceição da Aparecida (MG),91.06
Conceição da Barra de Minas (MG),91.72
Conceição da Barra (ES),84.77
Conceição da Feira (BA),83.97
Conceição das Alagoas (MG),91.29
Conceição das Pedras (MG),90.48
Conceição de Ipanema (MG),84.8
Conceição de Macabu (RJ),90.27
Conceição do Almeida (BA),79.56
Conceição do Araguaia (PA),85.68
Conceição do Canindé (PI),69.84
Conceição do Castelo (ES),87.9
Conceição do Coité (BA),80.16
Conceição do Jacuípe (BA),87.61
Conceição do Lago-Açu (MA),65.12
Conceição do Mato Dentro (MG),82.13
Conceição do Pará (MG),90.73
Conceição do Rio Verde (MG),86.91
Conceição dos Ouros (MG),93.15
Conceição do Tocantins (TO),76.82
Conceição (PB),67.28
Conchal (SP),90.37
Conchas (SP),94.37
Concórdia do Pará (PA),79.58
Concórdia (SC),95.8
Condado (PB),70.39
Condado (PE),72.77
Conde (BA),75.91
Conde (PB),76.81
Condeúba (BA),72.76
Condor (RS),94.6
Cônego Marinho (MG),81.18
Confins (MG),95.08
Confresa (MT),88.48
Congonhal (MG),90.0
Congonhas do Norte (MG),73.6
Congonhas (MG),95.5
Congonhinhas (PR),83.09
Congo (PB),71.46
Conquista D'Oeste (MT),88.24
Conquista (MG),89.66
Conselheiro Lafaiete (MG),96.46
Conselheiro Mairinck (PR),89.89
Conselheiro Pena (MG),83.77
Consolação (MG),86.97
Constantina (RS),91.74
Contagem (MG),96.45
Contenda (PR),94.94
Contendas do Sincorá (BA),73.29
Coqueiral (MG),91.66
Coqueiro Baixo (RS),92.94
Coqueiros do Sul (RS),94.91
Coqueiro Seco (AL),71.77
Coração de Jesus (MG),81.76
Coração de Maria (BA),79.0
Corbélia (PR),92.34
Cordeirópolis (SP),95.22
Cordeiro (RJ),94.16
Cordeiros (BA),74.42
Cordilheira Alta (SC),95.14
Cordisburgo (MG),89.17
Cordislândia (MG),85.92
Coreaú (CE),63.09
Coremas (PB),66.59
Corguinho (MS),88.45
Coribe (BA),71.63
Corinto (MG),89.87
Cornélio Procópio (PR),93.28
Coroaci (MG),84.51
Coroados (SP),93.16
Coroatá (MA),67.8
Coromandel (MG),91.94
Coronel Barros (RS),96.85
Coronel Bicaco (RS),88.72
Coronel Domingos Soares (PR),89.8
Coronel Ezequiel (RN),70.03
Coronel Fabriciano (MG),93.92
Coronel Freitas (SC),91.7
Coronel João Pessoa (RN),66.84
Coronel João Sá (BA),60.71
Coronel José Dias (PI),67.55
Coronel Macedo (SP),87.33
Coronel Martins (SC),88.57
Coronel Murta (MG),80.25
Coronel Pacheco (MG),88.53
Coronel Pilar (RS),95.94
Coronel Sapucaia (MS),82.14
Coronel Vivida (PR),91.81
Coronel Xavier Chaves (MG),93.95
Córrego Danta (MG),90.81
Córrego do Bom Jesus (MG),87.78
Córrego do Ouro (GO),88.8
Córrego Fundo (MG),90.5
Córrego Novo (MG),78.62
Correia Pinto (SC),90.6
Corrente (PI),81.18
Correntes (PE),67.49
Correntina (BA),76.54
Cortês (PE),71.11
Corumbá de Goiás (GO),84.53
Corumbaíba (GO),89.92
Corumbá (MS),93.65
Corumbataí do Sul (PR),80.78
Corumbataí (SP),92.97
Corumbiara (RO),87.53
Corupá (SC),96.91
Coruripe (AL),76.1
Cosmópolis (SP),95.17
Cosmorama (SP),90.92
Costa Marques (RO),91.4
Costa Rica (MS),90.72
Cotegipe (BA),70.18
Cotia (SP),95.58
Cotiporã (RS),95.48
Cotriguaçu (MT),90.72
Couto de Magalhães de Minas (MG),88.56
Couto Magalhães (TO),82.55
Coxilha (RS),93.18
Coxim (MS),89.54
Coxixola (PB),78.79
Craíbas (AL),60.33
Crateús (CE),75.01
Crato (CE),85.06
Cravinhos (SP),93.62
Cravolândia (BA),72.22
Criciúma (SC),97.0
Crisólita (MG),65.0
Crisópolis (BA),69.34
Crissiumal (RS),95.21
Cristais (MG),90.16
Cristais Paulista (SP),92.0
Cristalândia do Piauí (PI),74.19
Cristalândia (TO),87.39
Cristal do Sul (RS),87.81
Cristália (MG),80.45
Cristalina (GO),90.89
Cristal (RS),90.51
Cristiano Otoni (MG),93.97
Cristianópolis (GO),92.68
Cristina (MG),90.66
Cristinápolis (SE),69.55
Cristino Castro (PI),75.14
Cristópolis (BA),69.8
Crixás do Tocantins (TO),89.33
Crixás (GO),88.04
Croatá (CE),64.75
Cromínia (GO),88.96
Crucilândia (MG),86.22
Cruzália (SP),92.37
Cruz Alta (RS),95.51
Cruzaltense (RS),93.24
Cruz (CE),75.36
Cruz das Almas (BA),88.21
Cruz do Espírito Santo (PB),66.95
Cruzeiro da Fortaleza (MG),89.17
Cruzeiro do Iguaçu (PR),87.23
Cruzeiro do Oeste (PR),87.44
Cruzeiro do Sul (AC),81.48
Cruzeiro do Sul (PR),87.89
Cruzeiro do Sul (RS),96.17
Cruzeiro (SP),97.14
Cruzeta (RN),77.77
Cruzília (MG),89.7
Cruz Machado (PR),94.12
Cruzmaltina (PR),82.86
Cubatão (SP),94.68
Cubati (PB),72.25
Cuiabá (MT),95.76
Cuité de Mamanguape (PB),58.79
Cuitegi (PB),65.64
Cuité (PB),68.28
Cujubim (RO),88.06
Cumari (GO),91.17
Cumaru do Norte (PA),74.8
Cumaru (PE),67.93
Cumbe (SE),73.48
Cunha Porã (SC),95.12
Cunha (SP),89.55
Cunhataí (SC),96.05
Cuparaque (MG),78.48
Cupira (PE),69.31
Curaçá (BA),75.28
Curimatá (PI),81.54
Curionópolis (PA),82.02
Curitibanos (SC),92.05
Curitiba (PR),97.87
Curiúva (PR),86.4
Currais Novos (RN),82.13
Currais (PI),67.27
Curral de Cima (PB),59.5
Curral de Dentro (MG),75.64
Curralinho (PA),78.4
Curralinhos (PI),68.93
Curral Novo do Piauí (PI),64.55
Curral Velho (PB),65.08
Curuá (PA),85.57
Curuçá (PA),89.17
Cururupu (MA),82.59
Curvelândia (MT),84.88
Curvelo (MG),92.17
Custódia (PE),72.79
Cutias (AP),88.81
Damianópolis (GO),80.48
Damião (PB),60.34
Damolândia (GO),87.05
Darcinópolis (TO),79.33
Dário Meira (BA),65.93
Datas (MG),89.37
David Canabarro (RS),92.64
Davinópolis (GO),85.21
Davinópolis (MA),74.99
Delfim Moreira (MG),90.81
Delfinópolis (MG),89.7
Delmiro Gouveia (AL),76.65
Delta (MG),86.88
Demerval Lobão (PI),74.55
Denise (MT),85.79
Deodápolis (MS),86.89
Deputado Irapuan Pinheiro (CE),67.72
Derrubadas (RS),90.22
Descalvado (SP),94.5
Descanso (SC),94.59
Descoberto (MG),91.56
Desterro de Entre Rios (MG),85.71
Desterro do Melo (MG),82.36
Desterro (PB),74.51
Dezesseis de Novembro (RS),87.71
Diadema (SP),95.64
Diamante D'Oeste (PR),83.23
Diamante do Norte (PR),88.85
Diamante do Sul (PR),80.88
Diamante (PB),69.7
Diamantina (MG),90.78
Diamantino (MT),93.02
Dianópolis (TO),87.63
Dias D'Ávila (BA),91.79
Dilermando de Aguiar (RS),86.35
Diogo de Vasconcelos (MG),82.69
Dionísio Cerqueira (SC),89.82
Dionísio (MG),88.36
Diorama (GO),87.17
Dirce Reis (SP),86.1
Dirceu Arcoverde (PI),71.19
Divina Pastora (SE),76.85
Divinésia (MG),90.79
Divino das Laranjeiras (MG),81.62
Divino de São Lourenço (ES),84.91
Divinolândia de Minas (MG),86.11
Divinolândia (SP),93.68
Divino (MG),85.98
Divinópolis de Goiás (GO),78.86
Divinópolis do Tocantins (TO),83.57
Divinópolis (MG),96.22
Divisa Alegre (MG),77.78
Divisa Nova (MG),86.09
Divisópolis (MG),74.39
Dobrada (SP),84.89
Dois Córregos (SP),91.74
Dois Irmãos das Missões (RS),87.71
Dois Irmãos do Buriti (MS),87.58
Dois Irmãos do Tocantins (TO),82.5
Dois Irmãos (RS),97.96
Dois Lajeados (RS),94.89
Dois Riachos (AL),60.87
Dois Vizinhos (PR),93.41
Dolcinópolis (SP),87.77
Dom Aquino (MT),85.99
Dom Basílio (BA),76.28
Dom Bosco (MG),84.32
Dom Cavati (MG),87.51
Dom Eliseu (PA),82.33
Dom Expedito Lopes (PI),73.3
Dom Feliciano (RS),87.79
Domingos Martins (ES),89.02
Domingos Mourão (PI),68.95
Dom Inocêncio (PI),74.95
Dom Joaquim (MG),83.35
Dom Macedo Costa (BA),79.21
Dom Pedrito (RS),94.12
Dom Pedro de Alcântara (RS),94.35
Dom Pedro (MA),75.77
Dom Silvério (MG),90.06
Dom Viçoso (MG),89.85
Dona Emma (SC),95.83
Dona Eusébia (MG),91.41
Dona Francisca (RS),92.81
Dona Inês (PB),60.68
Dores de Campos (MG),92.91
Dores de Guanhães (MG),80.76
Dores do Indaiá (MG),88.96
Dores do Rio Preto (ES),82.41
Dores do Turvo (MG),84.93
Doresópolis (MG),93.35
Dormentes (PE),73.78
Douradina (MS),89.54
Douradina (PR),90.46
Douradoquara (MG),92.69
Dourados (MS),94.44
Dourado (SP),92.24
Doutor Camargo (PR),91.22
Doutor Maurício Cardoso (RS),93.71
Doutor Pedrinho (SC),96.12
Doutor Ricardo (RS),92.81
Doutor Severiano (RN),75.24
Doutor Ulysses (PR),82.66
Doverlândia (GO),84.98
Dracena (SP),94.12
Duartina (SP),93.14
Duas Barras (RJ),88.27
Duas Estradas (PB),69.42
Dueré (TO),87.48
Dumont (SP),92.79
Duque Bacelar (MA),68.03
Duque de Caxias (RJ),95.01
Durandé (MG),82.15
Echaporã (SP),90.2
Ecoporanga (ES),79.59
Edealina (GO),87.68
Edéia (GO),87.54
Eirunepé (AM),67.01
Eldorado dos Carajás (PA),78.71
Eldorado do Sul (RS),95.83
Eldorado (MS),85.79
Eldorado (SP),88.77
Elesbão Veloso (PI),64.13
Elias Fausto (SP),92.59
Eliseu Martins (PI),78.57
Elisiário (SP),90.18
Elísio Medrado (BA),74.57
Elói Mendes (MG),88.65
Emas (PB),69.57
Embaúba (SP),91.85
Embu-Guaçu (SP),93.93
Embu (SP),95.04
Emilianópolis (SP),88.45
Encantado (RS),96.75
Encanto (RN),75.72
Encruzilhada (BA),67.25
Encruzilhada do Sul (RS),89.2
Enéas Marques (PR),91.23
Engenheiro Beltrão (PR),90.28
Engenheiro Caldas (MG),81.81
Engenheiro Coelho (SP),91.22
Engenheiro Navarro (MG),82.52
Engenheiro Paulo de Frontin (RJ),94.22
Engenho Velho (RS),89.4
Entre Folhas (MG),85.72
Entre-Ijuís (RS),93.91
Entre Rios (BA),81.93
Entre Rios de Minas (MG),91.94
Entre Rios do Oeste (PR),96.81
Entre Rios do Sul (RS),90.87
Entre Rios (SC),85.07
Envira (AM),67.25
Epitaciolândia (AC),83.69
Equador (RN),77.18
Erebango (RS),93.14
Erechim (RS),96.73
Ererê (CE),69.27
Érico Cardoso (BA),69.73
Ermo (SC),93.91
Ernestina (RS),93.77
Erval Grande (RS),88.25
Ervália (MG),84.97
Erval Seco (RS),88.22
Erval Velho (SC),92.47
Escada (PE),78.3
Esmeralda (RS),91.78
Esmeraldas (MG),91.4
Espera Feliz (MG),86.08
Esperança do Sul (RS),89.92
Esperança Nova (PR),88.54
Esperança (PB),73.96
Esperantina (PI),70.82
Esperantina (TO),77.33
Esperantinópolis (MA),69.12
Espigão Alto do Iguaçu (PR),85.95
Espigão D'Oeste (RO),88.67
Espinosa (MG),76.66
Espírito Santo do Dourado (MG),88.78
Espírito Santo do Pinhal (SP),94.29
Espírito Santo do Turvo (SP),91.12
Espírito Santo (RN),61.64
Esplanada (BA),78.39
Espumoso (RS),92.48
Estação (RS),96.52
Estância (SE),82.11
Estância Velha (RS),97.38
Esteio (RS),97.35
Estiva Gerbi (SP),94.6
Estiva (MG),90.81
Estreito (MA),84.82
Estrela Dalva (MG),83.68
Estrela de Alagoas (AL),59.53
Estrela D'Oeste (SP),91.79
Estrela do Indaiá (MG),86.48
Estrela do Norte (GO),84.4
Estrela do Norte (SP),90.67
Estrela do Sul (MG),88.66
Estrela (RS),97.53
Estrela Velha (RS),91.01
Euclides da Cunha (BA),72.57
Euclides da Cunha Paulista (SP),86.22
Eugênio de Castro (RS),93.51
Eugenópolis (MG),87.86
Eunápolis (BA),85.2
Eusébio (CE),86.51
Ewbank da Câmara (MG),89.64
Extrema (MG),93.78
Extremoz (RN),82.8
Exu (PE),74.78
Fagundes (PB),67.76
Fagundes Varela (RS),95.98
Faina (GO),81.62
Fama (MG),90.05
Faria Lemos (MG),85.62
Farias Brito (CE),72.38
Farol (PR),85.13
Faro (PA),89.49
Farroupilha (RS),97.42
Fartura do Piauí (PI),66.93
Fartura (SP),93.7
Fátima (BA),64.92
Fátima do Sul (MS),88.27
Fátima (TO),85.08
Faxinal dos Guedes (SC),93.03
Faxinal do Soturno (RS),94.85
Faxinal (PR),86.61
Faxinalzinho (RS),90.51
Fazenda Nova (GO),84.99
Fazenda Rio Grande (PR),95.53
Fazenda Vilanova (RS),94.06
Feijó (AC),65.28
Feira da Mata (BA),77.59
Feira de Santana (BA),90.92
Feira Grande (AL),61.24
Feira Nova do Maranhão (MA),80.25
Feira Nova (PE),70.68
Feira Nova (SE),69.76
Felício dos Santos (MG),82.57
Felipe Guerra (RN),78.54
Felisburgo (MG),72.61
Felixlândia (MG),89.77
Feliz Deserto (AL),66.5
Feliz Natal (MT),91.22
Feliz (RS),99.05
Fênix (PR),86.69
Fernandes Pinheiro (PR),90.08
Fernandes Tourinho (MG),78.31
Fernando de Noronha (PE),94.99
Fernando Falcão (MA),61.97
Fernando Pedroza (RN),70.36
Fernandópolis (SP),94.09
Fernando Prestes (SP),92.21
Fernão (SP),91.45
Ferraz de Vasconcelos (SP),95.09
Ferreira Gomes (AP),86.54
Ferreiros (PE),71.56
Ferros (MG),78.39
Fervedouro (MG),84.85
Figueirão (MS),89.34
Figueira (PR),85.9
Figueirópolis D'Oeste (MT),87.08
Figueirópolis (TO),83.08
Filadélfia (BA),77.48
Filadélfia (TO),80.97
Firmino Alves (BA),76.56
Firminópolis (GO),89.19
Flexeiras (AL),67.8
Floraí (PR),91.82
Florânia (RN),76.8
Flora Rica (SP),85.59
Flor da Serra do Sul (PR),88.92
Flor do Sertão (SC),88.03
Floreal (SP),91.21
Flores da Cunha (RS),96.84
Flores de Goiás (GO),82.66
Flores do Piauí (PI),67.78
Flores (PE),67.06
Floresta Azul (BA),71.03
Floresta do Araguaia (PA),81.24
Floresta do Piauí (PI),59.49
Florestal (MG),93.53
Floresta (PE),81.6
Floresta (PR),92.93
Florestópolis (PR),87.06
Floriano Peixoto (RS),95.56
Floriano (PI),86.82
Florianópolis (SC),97.93
Flórida Paulista (SP),89.78
Flórida (PR),90.89
Florínia (SP),90.71
Fonte Boa (AM),75.31
Fontoura Xavier (RS),82.55
Formiga (MG),93.85
Formigueiro (RS),88.78
Formosa da Serra Negra (MA),81.51
Formosa do Oeste (PR),89.69
Formosa do Rio Preto (BA),77.67
Formosa do Sul (SC),92.28
Formosa (GO),91.39
Formoso do Araguaia (TO),87.11
Formoso (GO),86.87
Formoso (MG),80.68
Forquetinha (RS),93.36
Forquilha (CE),73.82
Forquilhinha (SC),96.13
Fortaleza (CE),93.06
Fortaleza de Minas (MG),90.93
Fortaleza dos Nogueiras (MA),84.06
Fortaleza dos Valos (RS),93.73
Fortaleza do Tabocão (TO),82.6
Fortim (CE),73.21
Fortuna de Minas (MG),91.3
Fortuna (MA),69.49
Foz do Iguaçu (PR),94.36
Foz do Jordão (PR),89.23
Fraiburgo (SC),93.4
Franca (SP),96.56
Francinópolis (PI),65.74
Francisco Alves (PR),84.22
Francisco Ayres (PI),69.82
Francisco Badaró (MG),77.59
Francisco Beltrão (PR),94.32
Francisco Dantas (RN),70.94
Francisco Dumont (MG),81.23
Francisco Macedo (PI),63.67
Francisco Morato (SP),93.06
Franciscópolis (MG),69.48
Francisco Sá (MG),79.09
Francisco Santos (PI),72.01
Franco da Rocha (SP),94.03
Frecheirinha (CE),66.67
Frederico Westphalen (RS),95.22
Frei Gaspar (MG),71.49
Frei Inocêncio (MG),82.41
Frei Lagonegro (MG),77.63
Frei Martinho (PB),70.04
Frei Miguelinho (PE),68.48
Frei Paulo (SE),73.45
Frei Rogério (SC),91.73
Fronteira dos Vales (MG),69.23
Fronteira (MG),89.46
Fronteiras (PI),70.95
Fruta de Leite (MG),66.03
Frutal (MG),93.47
Frutuoso Gomes (RN),74.33
Fundão (ES),90.74
Funilândia (MG),86.97
Gabriel Monteiro (SP),91.12
Gado Bravo (PB),67.17
Gália (SP),89.4
Galiléia (MG),80.7
Galinhos (RN),73.15
Galvão (SC),85.72
Gameleira de Goiás (GO),87.6
Gameleira (PE),73.31
Gameleiras (MG),74.56
Gandu (BA),77.17
Garanhuns (PE),82.43
Gararu (SE),69.23
Garça (SP),92.67
Garibaldi (RS),97.36
Garopaba (SC),91.75
Garrafão do Norte (PA),69.5
Garruchos (RS),87.78
Garuva (SC),94.4
Gaspar (SC),97.55
Gastão Vidigal (SP),90.43
Gaúcha do Norte (MT),76.54
Gaurama (RS),95.95
Gavião (BA),73.72
Gavião Peixoto (SP),91.17
Geminiano (PI),65.05
General Câmara (RS),90.45
General Carneiro (MT),87.94
