Territorialidades,Taxa de Educacao 2010
Anamã (AM),84.16
Ananás (TO),80.73
Ananindeua (PA),96.56
Anápolis (GO),94.23
Anapu (PA),80.76
Anapurus (MA),70.1
Anastácio (MS),88.46
Anaurilândia (MS),88.13
Anchieta (ES),93.25
Anchieta (SC),92.79
Andaraí (BA),73.44
Andirá (PR),89.89
Andorinha (BA),74.29
Andradas (MG),91.53
Andradina (SP),94.12
André da Rocha (RS),93.33
Andrelândia (MG),89.14
Angatuba (SP),93.37
Angelândia (MG),74.52
Angélica (MS),87.94
Angelim (PE),66.6
Angelina (SC),89.51
Angical (BA),75.46
Angical do Piauí (PI),75.11
Angicos (RN),73.66
Angico (TO),82.79
Angra dos Reis (RJ),94.87
Anguera (BA),77.3
Ângulo (PR),88.71
Anhanguera (GO),96.27
Anhembi (SP),93.46
Anhumas (SP),92.09
Anicuns (GO),89.65
Anísio de Abreu (PI),70.82
Anita Garibaldi (SC),86.71
Anitápolis (SC),89.3
Anori (AM),80.38
Anta Gorda (RS),94.38
Antas (BA),71.67
Antonina do Norte (CE),67.39
Antonina (PR),91.38
Antônio Almeida (PI),75.2
Antônio Cardoso (BA),70.93
Antônio Carlos (MG),88.44
Antônio Carlos (SC),95.89
Antônio Dias (MG),84.26
Antônio Gonçalves (BA),80.28
Antônio João (MS),86.55
Antônio Martins (RN),69.22
Antônio Olinto (PR),93.17
Antônio Prado de Minas (MG),88.92
Antônio Prado (RS),95.18
Aparecida de Goiânia (GO),94.7
Aparecida D'Oeste (SP),87.88
Aparecida do Rio Doce (GO),87.1
Aparecida do Rio Negro (TO),85.07
Aparecida do Taboado (MS),90.04
Aparecida (PB),70.71
Aparecida (SP),96.57
Aperibé (RJ),89.4
Apiacá (ES),84.75
Apiacás (MT),86.62
Apiaí (SP),92.38
Apicum-Açu (MA),81.31
Apiúna (SC),94.07
Apodi (RN),76.09
Aporá (BA),72.19
Aporé (GO),87.2
Apuarema (BA),68.97
Apucarana (PR),94.1
Apuí (AM),89.23
Apuiarés (CE),73.2
Aquidabã (SE),70.5
Aquidauana (MS),91.47
Aquiraz (CE),79.17
