code_muni,name_muni,area_km2
1303809.0,São Gabriel da Cachoeira,109194.98963052582
1303908.0,São Paulo de Olivença,19658.550537840372
1303957.0,São Sebastião do Uatumã,10649.015727265089
1304005.0,Silves,3722.8765222060565
1304062.0,Tabatinga,3259.619319460751
1304104.0,Tapauá,84943.50751044606
1304203.0,Tefé,23693.997141283235
1304237.0,Tonantins,6447.608212828945
1304260.0,Uarini,10273.48574225255
1304302.0,Urucará,27903.3185120623
1304401.0,Urucurituba,2887.3198074827606
1400027.0,Amajari,28473.56178714134
1400050.0,Alto Alegre,25454.96623563286
1400100.0,Boa Vista,5686.519587947915
1400159.0,Bonfim,8079.088314178831
1400175.0,Cantá,7664.050821187194
1400209.0,Caracaraí,47379.97854670734
1400233.0,Caroebe,12066.358492222455
1400282.0,Iracema,14012.276004417612
1400308.0,Mucajaí,12336.990679609782
1400407.0,Normandia,6960.612429665294
1400456.0,Pacaraima,8025.23433451239
1400472.0,Rorainópolis,33580.268256359865
1400506.0,São João da Baliza,4283.922149547526
1400605.0,São Luiz,1526.9664964997335
1400704.0,Uiramutã,8113.399534115998
1500107.0,Abaetetuba,1610.4037037252908
1500131.0,Abel Figueiredo,615.0023381958066
1500206.0,Acará,4344.800373288567
1500305.0,Afuá,8338.050070728132
1500347.0,Água Azul do Norte,7113.325997394759
1500404.0,Alenquer,23645.86493376006
1500503.0,Almeirim,72957.58752388625
1500602.0,Altamira,159530.050818479
1500701.0,Anajás,6913.3914370898465
1500800.0,Ananindeua,190.49342240810375
1500859.0,Anapu,11895.343688384532
1500909.0,Augusto Corrêa,1098.3389875473695
1500958.0,Aurora do Pará,1812.19894206781
1501006.0,Aveiro,17076.730057649685
1501105.0,Bagre,4398.045418070831
1501204.0,Baião,3757.722306335212
1501253.0,Bannach,2956.359273929297
1501303.0,Barcarena,1310.069406307872
1501402.0,Belém,1059.2420132718535
1501451.0,Belterra,4399.485608535382
1501501.0,Benevides,187.69044859212383
1501576.0,Bom Jesus do Tocantins,2816.269693603
1501600.0,Bonito,586.2941322766843
1501709.0,Bragança,2123.77532301054
1501725.0,Brasil Novo,6361.432333208196
1501758.0,Brejo Grande do Araguaia,1287.6379859798444
1501782.0,Breu Branco,3942.1230337759716
1501808.0,Breves,9566.801294228024
1501907.0,Bujaru,994.8553725553081
1501956.0,Cachoeira do Piriá,2420.0224454134654
1502004.0,Cachoeira do Arari,3100.196586539713
1502103.0,Cametá,3082.2583938670555
1502152.0,Canaã dos Carajás,3150.958667378816
1502202.0,Capanema,621.5789875121037
1502301.0,Capitão Poço,2901.1460888090946
1502400.0,Castanhal,1030.0362180058605
1502509.0,Chaves,12532.936580583213
1502608.0,Colares,384.4866186551348
1502707.0,Conceição do Araguaia,5830.178325447405
1502756.0,Concórdia do Pará,700.3901019135145
1502764.0,Cumaru do Norte,17085.59051572369
1502772.0,Curionópolis,2368.9349519671982
1502806.0,Curralinho,3617.764607425669
1502855.0,Curuá,1430.4148428711808
1502905.0,Curuçá,676.0264169478643
1502939.0,Dom Eliseu,5268.181628199884
1502954.0,Eldorado do Carajás,2955.547565946049
1503002.0,Faro,11772.29875007928
1503044.0,Floresta do Araguaia,3443.0264680826604
1503077.0,Garrafão do Norte,1607.9760475777646
1503093.0,Goianésia do Pará,7024.325738317862
1503101.0,Gurupá,8570.239781106317
1503200.0,Igarapé-Açu,785.4019768739603
1503309.0,Igarapé-Miri,1997.2875213553846
1503408.0,Inhangapi,472.7387135527431
1503457.0,Ipixuna do Pará,5214.645934549111
1503507.0,Irituia,1385.344376580658
1503606.0,Itaituba,62045.44403661157
1503705.0,Itupiranga,7878.360922101698
1503754.0,Jacareacanga,53306.76719123564
1503804.0,Jacundá,2006.8516525258678
1503903.0,Juruti,8307.184944227969
