"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2024";"Emenda Individual - Transferências Especiais";"DELEGADO CAVEIRA";"0006";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202443450006";"5.735.792,00";"5.735.792,00";"5.735.792,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"ABILIO SANTANA";"0014";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202338950014";"5.737.092,00";"5.737.092,00";"5.737.092,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"EDUARDO CURY";"0001";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202130890001";"5.739.993,00";"5.739.993,00";"5.739.993,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"DARCI DE MATOS";"0014";"CAMPO ALEGRE - SC";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202339530014";"5.750.000,00";"5.750.000,00";"5.750.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"EFRAIM FILHO";"0024";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202224490024";"5.757.000,00";"2.678.500,00";"2.678.500,00";"3.078.500,00";"0,00";"3.078.500,00";
"2022";"Emenda Individual - Transferências Especiais";"HELDER SALOMAO";"0003";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202233120003";"5.765.000,00";"2.122.500,00";"2.122.500,00";"3.642.500,00";"0,00";"3.642.500,00";
"2024";"Emenda Individual - Transferências Especiais";"VANDER LOUBET";"0019";"MATO GROSSO DO SUL (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202414510019";"5.770.791,00";"5.770.791,00";"5.770.791,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"MARLON SANTOS";"0003";"CACHOEIRA DO SUL - RS";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202340450003";"5.783.693,00";"5.783.693,00";"5.783.693,00";"0,00";"0,00";"0,00";
"2020";"Emenda Individual - Transferências Especiais";"BENES LEOCADIO";"0011";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202039170011";"5.800.000,00";"5.800.000,00";"5.800.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"LUIZ NISHIMORI";"0010";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202228740010";"5.819.680,00";"2.909.840,00";"2.909.840,00";"2.909.840,00";"0,00";"2.909.840,00";
"2022";"Emenda Individual - Transferências Especiais";"GENECIAS NORONHA";"0003";"PARAMBU - CE";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202227020003";"5.819.682,00";"4.409.841,00";"4.409.841,00";"1.409.841,00";"0,00";"1.409.841,00";
"2021";"Emenda Individual - Transferências Especiais";"EFRAIM FILHO";"0002";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202124490002";"5.839.000,00";"5.839.000,00";"5.839.000,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"LOESTER TRUTIS";"0002";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202140320002";"5.840.160,00";"5.840.160,00";"5.840.160,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"ACIR GURGACZ";"0016";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202226330016";"5.869.682,00";"4.284.841,00";"4.284.841,00";"1.584.841,00";"0,00";"1.584.841,00";
