municipio,sigla_municipio,prefeito_eleito_2024,sigla_partido_prefeito_eleito,porcentagem_votos_validos_2024,emendas_pix_per_capita_partido_prefeito_eleito,idhm_2010,alfabetizacao_2010,pib_per_capita_2021,densidade_demografica_2010
AGUA BOA - MT,MT,DR. MARIANO,MDB,0.6439281372416588,3422.4306102193777,0.729,92.31,68471.50826516992,3.870767720622633
AGUA BRANCA - AL,AL,NAYARA,PP,0.7802959830866808,7365.319865319865,0.549,69.08,10661.563552188552,40.58580904254791
AGUA BRANCA - PB,PB,MARLUCE VERAS,REPUBLICANOS,0.5015873015873016,6963.042313872523,0.572,73.64,9859.239421531867,38.66191413127292
AGUA BRANCA - PI,PI,JUNIOR RIBEIRO,PSD,0.842101003561023,7113.184999715472,0.639,75.86,13883.286860524668,181.530221696096
AGUA CLARA - MS,MS,GEROLINA,PSDB,0.748237457852253,0.0,0.67,91.02,73784.66041455111,1.9238698417053013
AGUA COMPRIDA - MG,MG,GUSTAVO ALMEIDA,PSD,0.4724905501889962,0.0,0.675,92.1,109027.98861480076,4.286821740395059
AGUA DOCE - SC,SC,GIOVANI BRANDALISE,PSDB,0.6149450549450549,0.0,0.698,92.8,100040.56545789796,4.932437197442112
AGUA DOCE DO MARANHAO - MA,MA,ELIANE DIAS,PDT,0.5032216494845361,0.0,0.5,63.97,8373.579311480811,27.460085362993624
AGUA DOCE DO NORTE - ES,ES,ABRAÃO LINCON,PSB,0.6000467781546018,0.0,0.652,80.0,15313.237003819964,25.39536841407268
AGUA FRIA - BA,BA,RENAN DE ZIZA,PSD,0.8150482192304019,0.0,0.55,72.74,10931.089190867076,19.513141997661936
AGUA FRIA DE GOIAS - GO,GO,VIRGINIA CASTRO,PP,0.5703954802259887,0.0,0.671,85.14,107636.85910375454,2.448670169719485
AGUA NOVA - RN,RN,NETINHO MACÁRIO,UNIÃO,0.5467546754675467,2715.5465037338763,0.616,77.34,11728.78479293958,58.11538167935131
