municipio,sigla_municipio,prefeito_eleito_2024,sigla_partido_prefeito_eleito,porcentagem_votos_validos_2024,emendas_pix_per_capita_partido_prefeito_eleito,idhm_2010,alfabetizacao_2010,pib_per_capita_2021,densidade_demografica_2010,cluster_0,cluster_1,cluster_2,cluster_3
CRISTALANDIA - TO,TO,BIG JOW,UNIÃO,0.5530512438868808,7848.0615288023855,0.673,87.39,27828.284413749803,3.4415071155357224,False,False,True,False
CRISTALANDIA DO PIAUI - PI,PI,MOISÉS FILHO,MDB,0.6033817312993935,14997.920065252854,0.573,74.19,10205.138662316476,6.11181582500937,True,False,False,False
CRISTALIA - MG,MG,JAIRO JÚNIOR,PP,0.4871676300578034,23432.92325717633,0.583,80.45,11554.579183753172,6.093146871069726,True,False,False,False
CRISTALINA - GO,GO,DR LUIS OTÁVIO,PL,0.6989033980232306,9084.492356064617,0.699,90.89,73829.6356898792,10.130832075378736,False,False,True,False
CRISTIANO OTONI - MG,MG,CARLOS VIEIRA,PP,0.6626438394611283,11784.872509106492,0.695,93.97,26503.964002571243,35.143523314197964,False,False,True,False
CRISTIANOPOLIS - GO,GO,JULIANA DA FARMÁCIA,UNIÃO,0.8559607722954337,14269.406392694063,0.688,92.68,34275.9703196347,15.826596213402096,False,False,True,False
CRISTINA - MG,MG,PAVÃO,PP,0.356364219301058,3855.79332947754,0.668,90.66,22546.36591478697,33.36564347947406,False,False,True,False
CRISTINAPOLIS - SE,SE,SANDRO DE JESUS,PT,0.5903214832454499,21637.4269005848,0.553,69.55,14665.3216374269,69.4174866586705,True,False,False,False
CRISTINO CASTRO - PI,PI,FELIPE DIAS,PT,0.8121082621082621,19042.178425211845,0.566,75.14,11572.8839379225,5.691020356783889,True,False,False,False
CRISTOPOLIS - BA,BA,VALDO DO ARMINDO,PT,0.5242507327219439,0.0,0.614,69.8,11280.140070035017,13.28834949226174,True,False,False,False
CRIXAS - GO,GO,DR. ALLAN XAVIER,MDB,0.5866002108693569,0.0,0.708,88.03999999999999,40979.72458247876,3.651355230339246,False,False,True,False
CROATA - CE,CE,RONILSON OLIVEIRA,PT,0.876540955163912,0.0,0.59,64.75,12838.910817458956,25.118162534691468,True,False,False,False
CROMINIA - GO,GO,FERNANDO CARDOSO,UNIÃO,0.5364942528735632,0.0,0.706,88.96000000000001,25639.454030388875,10.631536835376789,False,False,True,False
CRUCILANDIA - MG,MG,ELIZANGELA,SOLIDARIEDADE,0.4932106876916338,0.0,0.651,86.22,15292.234081707766,32.52569488998593,False,False,True,False
CRUZ - CE,CE,DERY MUNIZ,PSB,0.662947247105663,0.0,0.632,75.36,12521.823863445448,88.7034748899597,True,False,False,False
CRUZ ALTA - RS,RS,DRA PAULA ,MDB,0.8870287988761414,0.0,0.75,95.51,78240.52416274846,43.30035761843623,False,False,True,False
CRUZ DAS ALMAS - BA,BA,EDNALDO RIBEIRO,REPUBLICANOS,0.6319687515852483,0.0,0.699,88.21000000000001,17273.248492079274,432.4374131490384,False,False,True,False
CRUZ DO ESPIRITO SANTO - PB,PB,ALINY POVÃO,UNIÃO,0.711726618705036,4679.730915472361,0.552,66.95,11184.20590816028,88.78141948859194,True,False,False,False
CRUZ MACHADO - PR,PR,CARLÃO,UNIÃO,0.4029339853300733,0.0,0.664,94.12,31612.27938415321,9.420445924206764,False,False,True,False
CRUZALIA - SP,SP,ARILDO MOSQUITO,PSD,1.0,0.0,0.774,92.37,65305.50284629981,14.13675525409624,False,False,True,False
CRUZEIRO - SP,SP,KLEBER SILVEIRA,PL,0.420467631302258,0.0,0.788,97.14,42453.71593228479,245.2120258132257,False,False,True,False
CRUZEIRO DA FORTALEZA - MG,MG,DR. ANTONIO,MDB,0.536870951669158,0.0,0.696,89.17,52270.09372337404,18.797766863028755,False,False,True,False
CRUZEIRO DO IGUACU - PR,PR,RENI KOVALSKI,PP,0.4032411820781696,0.0,0.709,87.23,42871.52189692717,22.880134776092675,False,False,True,False
CRUZEIRO DO OESTE - PR,PR,ARMANDINHO,UNIÃO,0.564853902822614,0.0,0.717,87.44,36062.7753766103,28.02457719522617,False,False,True,False
CRUZEIRO DO SUL - AC,AC,ZEQUINHA LIMA,PP,0.5020201398716134,9012.6948023681,0.664,81.48,22403.687097335885,10.46011788843608,False,False,True,False
CRUZEIRO DO SUL - PR,PR,CÉSAR SUGIGAN,PSD,0.8059701492537313,14463.729417000444,0.713,87.89,45697.151757899424,16.20394644055996,False,False,True,False
CRUZEIRO DO SUL - RS,RS,DINGOLA,PP,0.4516817939135077,12500.0,0.723,96.17,45948.44827586207,74.8057667937552,False,False,True,False
CRUZETA - RN,RN,JOAQUIM DE MEDEIRINHO,UNIÃO,0.7473285074112375,11242.973141786384,0.654,77.77,15383.13554028732,27.057085794032496,True,False,False,False
CRUZILIA - MG,MG,JOAQUIM,PP,0.4314991290091198,3580.262986590288,0.695,89.7,20684.02551751074,29.40331137172515,False,False,True,False
CRUZMALTINA - PR,PR,MAURÍCIO BUENO,PSDB,0.4923458833264377,0.0,0.666,82.86,52273.51313969572,8.251920778932973,False,False,True,False
CUBATAO - SP,SP,CESAR,PSD,0.4047112077309072,0.0,0.737,94.68,195121.37700487216,787.944971787656,False,False,False,True
CUBATI - PB,PB,RIBEIRO,PSB,0.8541033434650456,0.0,0.566,72.25,10133.77308707124,46.30275091897818,True,False,False,False
CUITE - PB,PB,CAIO CAMARAENSE,PP,0.6933353235316069,3549.8757543485976,0.591,68.28,11179.015163040722,26.857050042193084,True,False,False,False
CUITE DE MAMANGUAPE - PB,PB,HELHINHO SOUZA,MDB,0.5473034046399518,23996.160614301712,0.524,58.79,11855.703087506,58.02096574882427,True,False,False,False
CUITEGI - PB,PB,GUILHERME MADRUGA,PSB,0.5692307692307692,10772.659732540862,0.57,65.64,9917.08766716196,159.86537760365815,True,False,False,False
CUJUBIM - RO,RO,JOAO BECKER,UNIÃO,0.5470136723434876,18165.91536029065,0.612,88.06,32798.22377716477,3.847229698452428,False,False,True,False
CUMARI - GO,GO,RAFAEL MEIRELLES,PDT,0.7337198929527208,51247.01059104886,0.737,91.17,33094.29449948753,5.15144228958042,False,False,True,False
CUMARU - PE,PE,ZENEIDE MEDEIROS,PSB,0.5618025025363544,25125.62814070352,0.572,67.93,6863.065326633166,54.47397970672457,True,False,False,False
CUMARU DO NORTE - PA,PA,NEGO,MDB,0.9705321800322534,20305.00142490738,0.55,74.8,28991.66429182103,0.8215109677996097,True,False,False,False
CUMBE - SE,SE,ERI,UNIÃO,0.5271779597915115,52301.25523012552,0.604,73.48,18171.809623430963,26.138550260669675,True,False,False,False
